DK_isbn,DK_date,DK_titul,DK_rating,DK_ratings_count,DK_tags,DK_Právě_čtených,DK_Přečtených,DK_Čtenářské_výzvě,DK_Knihotéce,DK_Chystám_se_číst,DK_Chci_si_koupit,DK_dalších_seznamech,DK_Doporučených,DK_autorstvo,DK_vyslo
9788088635109,2024-04-02 10:25:30,Zresetuj mě,84.0,24.0,"['kyberpunk', 'detektivní a krimi romány', 'thrillery', 'napětí', 'akční', 'mysteriózní, mystéria', 'české sci-fi', 'sci-fi']",,23.0,1.0,47.0,22.0,15.0,2.0,2.0,,
9788088635062,2024-04-02 10:25:31,Pomiluj smrt,84.0,49.0,['Rakousko-Uhersko'],,56.0,5.0,26.0,28.0,14.0,3.0,4.0,,
9788088067993,2024-04-02 10:25:32,Sešívance: Druhý steh,86.0,14.0,[],3.0,14.0,1.0,17.0,9.0,11.0,2.0,2.0,,
9788088483472,2024-04-02 10:25:33,Spoutej mě,68.0,77.0,"['sex', 'New York', 'erotika', 'romantika', 'policisté', 'kleptomanie']",2.0,67.0,3.0,96.0,77.0,12.0,2.0,5.0,,
9788075211828,2024-04-02 10:25:35,Poslední cestopisy,89.0,17.0,[],,17.0,,5.0,11.0,1.0,1.0,1.0,,
9788026725039,2024-04-02 10:25:37,Jako tažní ptáci,75.0,8.0,"['sex', 'láska', 'partnerské vztahy', 'rodinné vztahy', 'tanec', 'výchova', 'romantika', 'psychické problémy', 'psychická traumata', 'emigrace']",1.0,9.0,,41.0,23.0,4.0,1.0,1.0,,
9788024951560,2024-04-02 10:25:38,Perly v botě,73.0,12.0,[],,13.0,1.0,2.0,6.0,2.0,,,,
9788076624931,2024-04-02 10:25:39,"Kniha, kterou posypal hvězdný prach",80.0,107.0,"['Praha', '19. století', 'česká literatura', 'nakladatelství a vydavatelství']",4.0,124.0,19.0,76.0,206.0,57.0,4.0,7.0,,
9788024951652,2024-04-02 10:25:41,Rozinky v blátě,78.0,11.0,"['Židé', 'Praha', 'antisemitismus', 'dospívání', '50. léta 20. století', 'komunismus', '60. léta 20. století', 'přeživší holokaustu', 'české romány']",1.0,17.0,5.0,43.0,46.0,13.0,1.0,1.0,,
9788087908648,2024-04-02 10:25:43,Povyk,80.0,2.0,[],,2.0,,1.0,,1.0,,,,
9788020721839,2024-04-02 10:25:44,Tchyně nemá jazyk,77.0,22.0,"['povídky', 'česká literatura', 'divadlo', 'Itálie', 'Švýcarsko', 'mezilidské vztahy', 'české povídky']",1.0,23.0,1.0,39.0,23.0,5.0,1.0,1.0,,
9788076911635,2024-04-02 10:25:45,Svět v mé hlavě,70.0,2.0,[],,3.0,,,9.0,4.0,,,,
9788075501455,2024-04-02 10:25:47,Sidonie,85.0,8.0,[],,9.0,,28.0,10.0,2.0,1.0,7.0,,
9788074043741,2024-04-02 10:25:49,Zloděj tváří,73.0,23.0,"['detektivní a krimi romány', 'česká literatura', 'okultismus', 'krimi', 'české detektivky']",2.0,34.0,1.0,9.0,21.0,6.0,,,,
9788075211224,2024-04-02 10:25:50,Výlet do Schengenu / Můj jediný čtenář,70.0,6.0,[],,7.0,,4.0,2.0,,,,,
9788088346241,2024-04-02 10:25:51,Elektrickej strom,92.0,13.0,[],3.0,14.0,5.0,6.0,8.0,3.0,,3.0,,
9788026511526,2024-04-02 10:25:53,Můj rok 1978,67.0,15.0,"['životopisy, biografie', 'vzpomínky', 'podle skutečných událostí', 'rok 1978']",,20.0,4.0,17.0,11.0,2.0,1.0,,,
